zone,cut_date,ndvi_before,ndvi_after,ndvi_drop,height_before,height_after,days_gap
N,6/24/2023,0.821,0.506,0.315,72.1,40.6,2
N,7/27/2023,0.817,0.456,0.362,71.7,35.6,2
N,9/6/2023,0.888,0.736,0.152,78.8,63.6,1
N,9/7/2023,0.736,0.569,0.167,63.6,46.9,1
N,9/12/2023,0.569,0.425,0.144,46.9,32.5,5
N,3/19/2024,0.593,0.291,0.302,49.3,19.1,118
N,6/24/2024,0.684,0.5,0.184,58.4,40,2
N,6/29/2024,0.46,0.315,0.146,36,21.5,4
N,8/27/2024,0.823,0.628,0.195,72.3,52.8,1
N,8/28/2024,0.628,0.507,0.121,52.8,40.7,1
N,10/22/2024,0.891,0.745,0.145,79.1,64.5,6
N,11/4/2024,0.759,0.557,0.202,65.9,45.7,5
SE,6/27/2023,0.777,0.463,0.314,67.7,36.3,3
SE,7/28/2023,0.752,0.509,0.243,65.2,40.9,1
SE,9/12/2023,0.76,0.456,0.304,66,35.6,5
SE,3/19/2024,0.587,0.311,0.276,48.7,21.1,118
SE,6/25/2024,0.665,0.508,0.157,56.5,40.8,1
SE,6/29/2024,0.508,0.289,0.219,40.8,18.9,4
SE,8/28/2024,0.818,0.64,0.178,71.8,54,1
SE,8/29/2024,0.64,0.514,0.126,54,41.4,1
SE,10/22/2024,0.909,0.758,0.151,80.9,65.8,6
SE,11/4/2024,0.788,0.601,0.187,68.8,50.1,5
